player_name,position,school,consensus_rank,contrarian_rank,final_grade,consensus_board_mean_rank,consensus_board_source_count,contrarian_score,diamond_exception_reasons
Jalon Kilgore,S,South Carolina,193,4,77.41,124.0,2,90.56,dislocation=98.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Austin Barber,OT,Florida,82,5,79.6,115.0,2,90.33,dislocation=88.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Cole Payton,QB,North Dakota State,260,8,75.51,117.5,2,89.63,dislocation=82.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Kendal Daniels,LB,Oklahoma,340,22,73.94,187.0,2,87.85,dislocation=112.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Davison Igbinosun,CB,Ohio State,114,34,78.29,105.0,2,86.92,dislocation=54.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
Tacario Davis,CB,Washington,138,36,77.56,114.0,2,86.79,dislocation=58.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=3
