player_name,position,school,consensus_rank,contrarian_rank,final_grade,consensus_board_mean_rank,consensus_board_source_count,contrarian_score,diamond_exception_reasons
Cole Payton,QB,North Dakota State,287,2,72.56,183.5,2,93.08,dislocation=148.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Keeshawn Silver,DT,USC,237,5,74.27,307.5,2,92.26,dislocation=260.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Isaiah World,OT,Oregon,85,6,78.63,102.33,3,91.79,dislocation=87.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Harold Perkins Jr.,LB,LSU,77,7,78.88,127.5,2,91.76,dislocation=109.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Bryce Lance,WR,North Dakota State,188,9,75.99,150.0,3,91.22,dislocation=112.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jalon Kilgore,S,South Carolina,216,10,75.22,122.67,3,91.06,dislocation=96.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Jaydn Ott,RB,Oklahoma,240,11,74.21,255.0,2,90.97,dislocation=191.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Aamil Wagner,OT,Notre Dame,149,12,77.03,159.67,3,90.71,dislocation=115.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Austin Barber,OT,Florida,159,13,76.85,107.0,3,90.43,dislocation=80.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Oscar Delp,TE,Georgia,193,14,75.92,146.67,3,90.42,dislocation=105.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Miller Moss,QB,Louisville,357,15,69.72,335.0,2,90.36,dislocation=264.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Kendal Daniels,LB,Oklahoma,300,16,72.08,288.0,2,90.05,dislocation=213.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Barion Brown,WR,LSU,298,18,72.18,275.5,2,89.72,dislocation=193.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Tacario Davis,CB,Washington,272,19,73.12,160.33,3,89.65,dislocation=104.3;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Nicholas Singleton,RB,Penn State,62,20,79.42,109.5,2,89.33,dislocation=77.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Le'Veon Moss,RB,Texas A&M,183,21,76.08,192.5,2,89.21,dislocation=126.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Roman Hemby,RB,Indiana,179,24,76.19,195.5,2,88.41,dislocation=122.5;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Daylen Everette,CB,Georgia,43,34,80.35,101.0,3,87.53,dislocation=53.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Davison Igbinosun,CB,Ohio State,153,36,77.01,105.0,3,87.43,dislocation=54.0;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
Demond Claiborne,RB,Wake Forest,271,40,73.17,151.67,3,87.37,dislocation=84.7;prod>=85;trait>=82;athletic>=83_or_ras_impact;risk<=2.2;coverage_points=2
